category,phenotype,phe_code,"all_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)","new_1_year (case_n, noncase_n, hazards ratio, 95% confidence interval (lower), 95% confidence interval (upper), pvalue)"
genitourinary,"Disorders secondary to childbirth, surgery, trauma",617.0,"[617.0, 1031.0, 525189.0, 0.6135461185869865, 0.2335630981859021, 1.6117222393305206, 3.1102440655456585]","[617.0, 1031.0, 523758.0, 0.6128822994195727, 0.2333303914388994, 1.6098404953826386, 3.1210590531388096]"
genitourinary,Prolapse of vaginal walls,618.1,"[618.1, 355.0, 525217.0, 2.02589350933821, 0.7191017117650707, 5.7074603550930485, 5.507917142892087]","[618.1, 355.0, 519389.0, 2.020855284095311, 0.7172095013226301, 5.694090878222839, 5.459616879509096]"
genitourinary,Uterine/Uterovaginal prolapse,618.2,"[618.2, 523.0, 525215.0, 1.2059237491824624, 0.416422688320672, 3.49224989326811, 1.3698936228518483]","[618.2, 523.0, 521325.0, 1.2032798092279149, 0.4154501337160093, 3.4850928710623568, 1.3641414422426412]"
genitourinary,Prolapse of vaginal vault after hysterectomy,618.5,"[618.5, 38.0, 525281.0, 0.2678910286381406, 0.0042257355499754, 16.982984944530713, 1.8732504686923732]","[618.5, 38.0, 524791.0, 0.2679363002495301, 0.0042258399815105, 16.988305592618502, 1.8730164420431477]"
genitourinary,Noninflammatory female genital disorders,619.0,"[619.0, 989.0, 525027.0, 0.0444494425127883, 0.0208122046305136, 0.0949324194516587, 1128809060844317.8]","[619.0, 989.0, 511271.0, 0.0440062377244208, 0.0206076879937266, 0.0939721602562964, 1412629310781915.0]"
genitourinary,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",619.1,"[619.1, 1170.0, 525128.0, 0.1869683255583766, 0.0802139039310973, 0.4357991950140069, 9717.69852266782]","[619.1, 1170.0, 506509.0, 0.1848937481697831, 0.0793394424738085, 0.4308789808241534, 10852.124206715744]"
genitourinary,"Disorders of uterus, NEC",619.2,"[619.2, 445.0, 525223.0, 0.4932247743951209, 0.1459300544573351, 1.667036163193113, 3.916475038936642]","[619.2, 445.0, 432406.0, 0.4542198509078516, 0.1360235439503499, 1.5167644289142943, 5.011058596634421]"
genitourinary,Noninflammatory disorders of cervix,619.3,"[619.3, 2002.0, 525067.0, 0.4057111355712022, 0.2079731510171792, 0.7914556505078765, 122.75742871189884]","[619.3, 2002.0, 513362.0, 0.400578932423752, 0.2054415839601164, 0.7810662184774851, 137.9706572306456]"
genitourinary,Noninflammatory disorders of vagina,619.4,"[619.4, 2557.0, 524899.0, 0.7769159182037378, 0.4838731529964173, 1.247430943875545, 3.377258922250047]","[619.4, 2557.0, 478317.0, 0.7532016235267969, 0.4696777139201007, 1.2078765265407314, 4.175023597509642]"
genitourinary,Dysplasia of female genital organs,620.0,"[620.0, 149.0, 525273.0, 0.0566016176149051, 0.0024079359295695, 1.330493505778899, 13.398533350480081]","[620.0, 149.0, 524251.0, 0.0566242367239155, 0.0024078440597467, 1.3316079052491858, 13.384066777742538]"
genitourinary,Polyp of corpus uteri,622.1,"[622.1, 2296.0, 524964.0, 0.0514130250604533, 0.0262360502469352, 0.1007506511455773, 1.8809654661346557e+17]","[622.1, 2296.0, 512764.0, 0.0504279285739663, 0.0257279821415845, 0.0988408638604734, 3.0139038145419264e+17]"
genitourinary,Mucous polyp of cervix,622.2,"[622.2, 215.0, 525251.0, 0.0735288397026246, 0.0104989978311742, 0.5149529845563915, 116.52224963649208]","[622.2, 215.0, 523146.0, 0.0730731784042254, 0.0104278742766972, 0.5120592424122495, 118.41406513581171]"
genitourinary,Hypertrophy of female genital organs,623.0,"[623.0, 60.0, 525265.0, 0.5957362530620406, 0.0779055909993761, 4.55553547132762, 1.6187567898468593]","[623.0, 60.0, 521797.0, 0.5935739890055829, 0.0776019073570592, 4.540224492200566, 1.6251203734339896]"
genitourinary,"stress incontinence, female",624.9,"[624.9, 994.0, 525152.0, 7.443614250114174, 3.682853390679493, 15.044691500543289, 44342649.89943727]","[624.9, 994.0, 513083.0, 7.435174454004882, 3.6774567861907217, 15.03262237345017, 42887723.01871619]"
genitourinary,Pain and other symptoms associated with female genital organs,625.0,"[625.0, 149.0, 525269.0, 0.7210796865522451, 0.0785521153194352, 6.619247772563009, 1.2944834254152469]","[625.0, 149.0, 507288.0, 0.7113974487908422, 0.0775230190891698, 6.528207184036519, 1.310023176656429]"
genitourinary,Dyspareunia,625.1,"[625.1, 102.0, 525281.0, 1.2063839385328403, 0.0353600764023517, 41.15834452928988, 1.0904832846057029]","[625.1, 102.0, 522032.0, 1.19588439296666, 0.0350384924063855, 40.816239030895154, 1.0859105389626955]"
genitourinary,Disorders of menstruation and other abnormal bleeding from female genital tract,626.0,"[626.0, 9637.0, 523654.0, 0.1969179038490031, 0.1515987130105904, 0.2557848947805802, 2.4246221894787815e+33]","[626.0, 9637.0, 502744.0, 0.1937672040515531, 0.1492208987536762, 0.2516117358865007, 1.295197201301998e+34]"
genitourinary,Irregular menstrual cycle/bleeding,626.1,"[626.1, 563.0, 525157.0, 0.2727823910598889, 0.1113567868646827, 0.6682146186812229, 222.98286577514583]","[626.1, 563.0, 489932.0, 0.2636204995888107, 0.1077921203610822, 0.644720296536121, 287.4763980197491]"
genitourinary,Absent or infrequent menstruation,626.11,"[626.11, 1157.0, 525026.0, 0.4757524273914173, 0.2611190031526764, 0.8668092687091198, 65.67413998029666]","[626.11, 1157.0, 488477.0, 0.457499495427199, 0.251111021107143, 0.8335189247899876, 94.15323133124316]"
genitourinary,Excessive or frequent menstruation,626.12,"[626.12, 1451.0, 524962.0, 0.1680712503175514, 0.0926369230890979, 0.3049318159686308, 226180235.40711942]","[626.12, 1451.0, 515001.0, 0.1661388277458616, 0.0915689937010307, 0.3014351143236206, 284175163.19392955]"
genitourinary,Irregular menstrual cycle,626.13,"[626.13, 1409.0, 525042.0, 0.1907431250060065, 0.0969841656994074, 0.3751430913972313, 633517.1982212124]","[626.13, 1409.0, 506023.0, 0.1875608093575087, 0.0954467577571099, 0.3685725742132212, 834249.8861268043]"
genitourinary,Irregular menstrual bleeding,626.14,"[626.14, 726.0, 525126.0, 0.2647394968640349, 0.1177308496894787, 0.5953155131784107, 765.1273011543267]","[626.14, 726.0, 521070.0, 0.2635533287387882, 0.1172319750067366, 0.5925035135278091, 797.3745654097899]"
genitourinary,"Infertility, female, associated with anovulation",626.15,"[626.15, 15.0, 525280.0, 0.0046327085209374, 1.751802161145929e-05, 1.2251376734189765, 16.96530590340983]","[626.15, 15.0, 523348.0, 0.004637857843902, 1.755469389267503e-05, 1.225297661796235, 16.963050747332122]"
genitourinary,Dysmenorrhea,626.2,"[626.2, 585.0, 525158.0, 0.1688550175372428, 0.065693579639152, 0.4340152737012672, 4509.890141505864]","[626.2, 585.0, 513834.0, 0.1682546417832854, 0.065512087777063, 0.4321282597184053, 4700.594759063381]"
genitourinary,Premenstrual tension syndromes,626.4,"[626.4, 73.0, 525284.0, 0.1088301069979783, 0.0001630352501307, 72.64681827820539, 1.9846623330438635]","[626.4, 73.0, 524571.0, 0.1087538557458059, 0.0001630313851927, 72.54677450967402, 1.9853684695267364]"
genitourinary,"Infertility, female",626.8,"[626.8, 259.0, 525209.0, 0.8280817844204281, 0.2906861210362487, 2.358968633398946, 1.3813060879278707]","[626.8, 259.0, 513398.0, 0.8157079173218088, 0.2864156442757331, 2.3231252191689653, 1.4227571546123194]"
genitourinary,Menopausal and postmenopausal disorders,627.0,"[627.0, 111.0, 525275.0, 0.3687255273655819, 0.0206700612872055, 6.577557397722012, 2.0106372501162255]","[627.0, 111.0, 516418.0, 0.3698661749301543, 0.0207220027745983, 6.601726138419325, 2.004918013074768]"
genitourinary,Postmenopausal bleeding,627.1,"[627.1, 3096.0, 524808.0, 0.3194687733626961, 0.2017443012664461, 0.5058893684390787, 876272.4112356334]","[627.1, 3096.0, 511419.0, 0.3174559243377182, 0.2004814831209166, 0.5026811570240256, 1006811.775826551]"
genitourinary,Symptomatic menopause,627.2,"[627.2, 256.0, 525231.0, 5.0563485443799, 1.6875881122034142, 15.149822647702466, 263.43085795396456]","[627.2, 256.0, 519911.0, 5.019750013029618, 1.674959838501482, 15.043877240575735, 252.26590606288198]"
genitourinary,Postmenopausal atrophic vaginitis,627.3,"[627.3, 467.0, 525220.0, 6.849939925134361, 2.521699555135011, 18.607163919429556, 6226.10866915547]","[627.3, 467.0, 512924.0, 6.806954476575454, 2.5049131152689275, 18.49749955945922, 5891.603995701778]"
genitourinary,Premenopausal menorrhagia,627.4,"[627.4, 244.0, 525234.0, 0.0308271961767544, 0.0054870962685453, 0.1731910609201017, 12849.222155488098]","[627.4, 244.0, 521129.0, 0.0307496312155972, 0.005473719559076, 0.1727417361613669, 13013.585854448162]"
hematopoietic,"Iron deficiency anemias, unspecified or not due to blood loss",280.1,"[280.1, 32600.0, 522617.0, 2.1572906295860594, 1.8240835077429127, 2.5513650228977016, 3.7539524635321887e+18]","[280.1, 32600.0, 473695.0, 2.4557450586959475, 2.075749535339974, 2.9053041759789355, 8.863978771768328e+24]"
hematopoietic,Iron deficiency anemia secondary to blood loss (chronic),280.2,"[280.2, 38552.0, 522011.0, 1.034475225196759, 0.8817910954302611, 1.2135969586126538, 1.4761977517146745]","[280.2, 38552.0, 504496.0, 1.0675230059322065, 0.9099259141592346, 1.252415554344906, 2.3657578776083246]"
hematopoietic,Megaloblastic anemia,281.1,"[281.1, 147.0, 525280.0, 0.7943659284902154, 0.0239785323347295, 26.315923741178374, 1.1142862274600933]","[281.1, 147.0, 524839.0, 0.7946284199249136, 0.0239860238221875, 26.325093747646324, 1.1141038518620314]"
hematopoietic,Pernicious anemia,281.11,"[281.11, 549.0, 525196.0, 52.64962791950059, 21.912564864880263, 126.5020018037493, 1.2751284268904776e+18]","[281.11, 549.0, 519224.0, 52.88446129800808, 22.00892630483645, 127.074179269069, 1.3863792087352294e+18]"
hematopoietic,Other vitamin B12 deficiency anemia,281.12,"[281.12, 4073.0, 525220.0, 0.4296954778235898, 0.1286901006481506, 1.4347506353022392, 5.892323159071751]","[281.12, 4073.0, 519003.0, 0.4326816853921729, 0.1296291870486579, 1.444222903315272, 5.776482850327795]"
hematopoietic,Folate-deficiency anemia,281.13,"[281.13, 237.0, 525273.0, 7.786350841627091, 0.8688038694902418, 69.78244637017913, 15.01192224557999]","[281.13, 237.0, 524738.0, 7.794291425118601, 0.869761978451126, 69.84782081169244, 15.044742766920422]"
hematopoietic,Deficiency anemias,281.9,"[281.9, 2965.0, 525091.0, 1.9778849602041235, 1.0600982293439185, 3.690251344182296, 31.169065527632107]","[281.9, 2965.0, 519762.0, 2.005883219667952, 1.0749093996499075, 3.743168951965555, 34.783825878336565]"
hematopoietic,Sickle cell anemia,282.5,"[282.5, 45120.0, 522559.0, 0.8533019616962902, 0.7142880701144909, 1.019370570921097, 12.44151209372748]","[282.5, 45120.0, 510793.0, 0.8608319292698514, 0.7206842816831075, 1.02823334611909, 10.167064500746644]"
hematopoietic,Other hemoglobinopathies,282.8,"[282.8, 7017.0, 524657.0, 0.2084176598783285, 0.1367705461874353, 0.3175970423458696, 3389667031171.435]","[282.8, 7017.0, 519460.0, 0.2089951834815142, 0.137200550969437, 0.3183586830362056, 3231405783685.3047]"
hematopoietic,Other hereditary hemolytic anemias,282.9,"[282.9, 316.0, 525237.0, 3.475909800643849, 1.053665059289118, 11.46659352106006, 24.52440092462756]","[282.9, 316.0, 521238.0, 3.490720391091452, 1.0583336119144604, 11.513504542995198, 24.959327128779027]"
hematopoietic,Acquired hemolytic anemias,283.0,"[283.0, 774.0, 525206.0, 2.68784756084814, 1.0364297755289946, 6.970587569881319, 23.811639513893457]","[283.0, 774.0, 523115.0, 2.700794332974104, 1.0414757505997978, 7.00380208067655, 24.39146115631293]"
hematopoietic,Non-autoimmune hemolytic anemias,283.2,"[283.2, 638.0, 525247.0, 3.658607962070489, 0.9631815224561286, 13.897081607205832, 17.606672997983885]","[283.2, 638.0, 524356.0, 3.669706039754881, 0.9660326266338124, 13.94025630908448, 17.78276181057001]"
hematopoietic,Hemolytic-uremic syndrome,283.21,"[283.21, 3511.0, 525127.0, 2.208363475985023, 1.1116372699320645, 4.387104835341381, 42.21600364496422]","[283.21, 3511.0, 524869.0, 2.212796734801099, 1.113853042749021, 4.395974335592584, 42.84641687494378]"
hematopoietic,Aplastic anemia,284.0,"[284.0, 16822.0, 524974.0, 3.31699148644669, 2.053547798917472, 5.357767920941384, 1050260.2470723477]","[284.0, 16822.0, 521042.0, 3.347763795631801, 2.072765778931256, 5.407037565586298, 1279091.3496379072]"
hematopoietic,Other anemias,285.0,"[285.0, 50870.0, 521694.0, 18.873579622442797, 16.47529346226087, 21.620981051454105, ' < 2.225E-308']","[285.0, 50870.0, 411376.0, 25.60073263144308, 22.343495957437053, 29.33280953504882, ' < 2.225E-308']"
hematopoietic,Acute posthemorrhagic anemia,285.1,"[285.1, 4769.0, 524617.0, 32.48912558768496, 23.635562304681105, 44.65911442450902, 1.921879075033014e+101]","[285.1, 4769.0, 498369.0, 35.747078452256794, 26.005514133383784, 49.13779482757453, 7.058767599971902e+106]"
hematopoietic,Anemia of chronic disease,285.2,"[285.2, 6620.0, 524962.0, 31.30174045945009, 19.834040271290004, 49.399867217626095, 6.115137553749542e+48]","[285.2, 6620.0, 507853.0, 33.86895823180667, 21.457712369185515, 53.458929450241605, 9.237194782824807e+50]"
hematopoietic,Anemia in neoplastic disease,285.22,"[285.22, 29533.0, 524233.0, 4.983308601136981, 3.855537300811112, 6.440960799145032, 7.475308358110943e+33]","[285.22, 29533.0, 515190.0, 5.012074805486447, 3.878758741045188, 6.476529099364095, 1.4935610763206433e+34]"
hematopoietic,Sideroblastic anemia,285.3,"[285.3, 470.0, 525248.0, 0.972470953429448, 0.2227339993026541, 4.2458706718544095, 1.0305158178783722]","[285.3, 470.0, 524409.0, 0.9740108387150882, 0.2231134594919993, 4.252083742928512, 1.0287396330397436]"
hematopoietic,Hemoglobinuria,285.8,"[285.8, 930.0, 525252.0, 3.847156632783282, 0.926734711555495, 15.97071305587123, 15.731112352981167]","[285.8, 930.0, 522665.0, 3.865975634698642, 0.9313510172475512, 16.04740568411385, 15.974780049034093]"
hematopoietic,Congenital coagulation defects,286.1,"[286.1, 274.0, 525248.0, 1.3947086151996906, 0.3347351385435988, 5.811197861615825, 1.5438332540942479]","[286.1, 274.0, 524760.0, 1.3949033809964986, 0.33480265766237, 5.811648736306178, 1.5441959228786657]"
hematopoietic,Von willebrand's disease,286.11,"[286.11, 625.0, 525186.0, 0.2398334371100001, 0.0853650502365691, 0.6738129643992835, 148.19498310581463]","[286.11, 625.0, 524462.0, 0.2398942036895769, 0.0853977131221789, 0.6738966051880135, 148.13165019597457]"
hematopoietic,Congenital deficiency of other clotting factors (including factor VII),286.12,"[286.12, 2769.0, 525197.0, 0.1609403600190395, 0.0515066807926285, 0.5028823268061383, 596.951235936544]","[286.12, 2769.0, 524382.0, 0.1612677260055951, 0.0516070337076562, 0.5039483493343535, 589.3947183274973]"
hematopoietic,Congenital factor VIII disorder,286.13,"[286.13, 965.0, 525247.0, 0.1910175139195906, 0.0354443769111469, 1.0294352392056287, 18.491653009713847]","[286.13, 965.0, 524595.0, 0.1910109675130045, 0.0354467746277143, 1.029295051339532, 18.49833095420334]"
hematopoietic,Acquired coagulation factor deficiency,286.4,"[286.4, 134.0, 525277.0, 2.538068579059801, 0.1667112681969215, 38.64041214299629, 1.989724209234045]","[286.4, 134.0, 524177.0, 2.5486972730995614, 0.1674101999212377, 38.80204308316504, 1.9973379433684149]"
hematopoietic,Defibrination syndrome,286.6,"[286.6, 301.0, 525265.0, 138.37060699223352, 20.839811222225364, 918.7427215741644, 3009304.917033113]","[286.6, 301.0, 509259.0, 146.93204787991732, 22.164949184952327, 974.0165210413834, 4287818.117874956]"
hematopoietic,Other and unspecified coagulation defects,286.7,"[286.7, 2255.0, 525067.0, 117.8635296943589, 65.23144842040396, 212.9618760338266, 3.305780317125594e+55]","[286.7, 2255.0, 510096.0, 125.26617212826174, 69.3556879776544, 226.2484063992409, 9.835467727928793e+56]"
hematopoietic,Purpura and other hemorrhagic conditions,287.0,"[287.0, 879.0, 525229.0, 1.905702332009763, 0.6079034419241394, 5.974141825439197, 3.722197774847456]","[287.0, 879.0, 507190.0, 2.012975909409489, 0.641894902133255, 6.3126720564323255, 4.343171706162949]"
hematopoietic,Spontaneous ecchymoses,287.1,"[287.1, 832.0, 525245.0, 10.48904752552177, 2.977856572761969, 36.94607691955105, 3942.2924887861045]","[287.1, 832.0, 521329.0, 10.540985789749344, 2.9927544607295054, 37.12712916401875, 4064.805104691247]"
hematopoietic,Allergic purpura,287.2,"[287.2, 155.0, 525266.0, 4.900086722979031, 0.8035139479211563, 29.882306280850543, 11.775589105191482]","[287.2, 155.0, 524044.0, 4.910279738675192, 0.8053231305832418, 29.93934508572011, 11.836373971298206]"
hematopoietic,Thrombocytopenia,287.3,"[287.3, 45820.0, 522871.0, 12.914286549597728, 10.94132672824954, 15.24301405372647, 1.6508490805231927e+200]","[287.3, 45820.0, 484782.0, 14.519562894533538, 12.302112542369876, 17.13670769327097, 1.0192847033785847e+219]"
hematopoietic,Primary thrombocytopenia,287.31,"[287.31, 9053.0, 524571.0, 0.8785376856611614, 0.6213013829917924, 1.2422770755961214, 2.156128411649837]","[287.31, 9053.0, 519614.0, 0.8866475050073779, 0.6270656850724313, 1.253686522561033, 2.0159318121279335]"
hematopoietic,Qualitative platelet defects,287.4,"[287.4, 108.0, 525268.0, 11.047896153159511, 1.7039282009189056, 71.63213176774325, 84.90902544541957]","[287.4, 108.0, 524272.0, 11.083520592739353, 1.7090041482013651, 71.88070834056455, 85.64685800613039]"
hematopoietic,Diseases of white blood cells,288.0,"[288.0, 837.0, 525190.0, 2.5158551636266964, 1.0528521309704746, 6.011791227048019, 26.37934548359285]","[288.0, 837.0, 518200.0, 2.555898844358744, 1.0695776507610748, 6.10766212060057, 28.779836960381797]"
hematopoietic,Other diseases of blood and blood-forming organs,289.0,"[289.0, 906.0, 525222.0, 6.645761088499768, 2.3957476801233044, 18.43522204439512, 3644.1834787088073]","[289.0, 906.0, 507111.0, 6.807866577690199, 2.455911621779421, 18.87162670212485, 4409.873858840341]"
hematopoietic,Personal history of diseases of blood and blood-forming organs,289.3,"[289.3, 10370.0, 524840.0, 200.59867618575583, 130.24912312277235, 308.9451039877467, 1.5143305616755315e+127]","[289.3, 10370.0, 524840.0, 200.59867618575583, 130.24912312277235, 308.9451039877467, 1.5143305616755315e+127]"
hematopoietic,Lymphadenitis,289.4,"[289.4, 17032.0, 523985.0, 0.9563681171183468, 0.741252849469661, 1.2339109065076552, 1.3671010710985299]","[289.4, 17032.0, 466386.0, 1.0219220516097671, 0.7922718222881323, 1.3181393685695373, 1.1528888562833086]"
hematopoietic,Diseases of spleen,289.5,"[289.5, 172.0, 525256.0, 7.961113659880849, 1.8367766885488128, 34.505735564194104, 179.7867159308829]","[289.5, 172.0, 519236.0, 8.043013063076733, 1.8557598232258807, 34.85906868075836, 187.57160425993163]"
hematopoietic,"Polycythemia, secondary",289.8,"[289.8, 744.0, 525139.0, 5.974948227956066, 3.036504484328587, 11.756941743706692, 4415173.679918659]","[289.8, 744.0, 521920.0, 6.048509510657109, 3.0737200880286712, 11.902341870034409, 5329147.060510585]"
hematopoietic,Abnormality of red blood cells,289.9,"[289.9, 66.0, 525284.0, 501.6769496710382, 1.6377325401693217, 153675.7410982484, 30.060935726074224]","[289.9, 66.0, 524837.0, 501.9565249357603, 1.6403838956013612, 153598.4068127031, 30.10473892417372]"
infectious diseases,Intestinal infection,8.0,"[8.0, 1145.0, 525183.0, 30.32574977367923, 13.562709593806186, 67.80732809878874, 1.051035690613801e+16]","[8.0, 1145.0, 515269.0, 31.362228441051297, 14.022638039352, 70.1429624032526, 2.054562042870461e+16]"
infectious diseases,Bacterial enteritis,8.5,"[8.5, 1217.0, 525171.0, 7.264772910576453, 3.391695709565968, 15.560631012208134, 2984802.4737325725]","[8.5, 1217.0, 517553.0, 7.339426591896278, 3.427075024267673, 15.718121814197811, 3450124.6901973276]"
infectious diseases,Intestinal e.coli,8.51,"[8.51, 371.0, 525260.0, 1621.2336132878406, 184.82058172996855, 14221.351346542991, 39301058387.52161]","[8.51, 371.0, 522069.0, 1638.1708900345052, 186.8848629236625, 14359.664142796966, 42530336263.39866]"
infectious diseases,Viral Enteritis,8.6,"[8.6, 696.0, 525130.0, 0.5262113505155943, 0.2453052238865808, 1.128791230061502, 10.082779658991248]","[8.6, 696.0, 511404.0, 0.5475959009226585, 0.2552379917837983, 1.174830081570687, 8.193935646733436]"
infectious diseases,Intestinal infection due to protozoa,8.7,"[8.7, 91.0, 525281.0, 76.77255515613608, 2.3494186498140737, 2508.716454459231, 68.10819875944911]","[8.7, 91.0, 523782.0, 77.06518066360805, 2.3595196414468425, 2517.055576224305, 68.5773656491534]"
infectious diseases,Tuberculosis,10.0,"[10.0, 609.0, 525247.0, 9.709476153724614, 2.677117200124422, 35.21471797176659, 1837.7861011432462]","[10.0, 609.0, 518585.0, 9.840004285978392, 2.71091284397655, 35.71700379937064, 1966.0387518557843]"
infectious diseases,Diseases due to other mycobacteria,31.0,"[31.0, 3228.0, 525206.0, 28.590865731395905, 11.48537121897369, 71.1720664213545, 1735019695739.1238]","[31.0, 3228.0, 523490.0, 28.839212191884144, 11.585188890684982, 71.789952472613, 1989490495133.3647]"
infectious diseases,Septicemia,38.0,"[38.0, 24683.0, 523944.0, 3754.3505726686826, 2676.272798879179, 5266.708322260984, ' < 2.225E-308']","[38.0, 24683.0, 489272.0, 4417.772021899074, 3146.537289416102, 6202.59918835919, ' < 2.225E-308']"
infectious diseases,Gram negative septicemia,38.1,"[38.1, 205.0, 525268.0, 365.5453034839456, 39.94060893754427, 3345.5516191082297, 5719345.016070392]","[38.1, 205.0, 519074.0, 373.68662340583774, 40.86340637089124, 3417.2797843874605, 6422909.537128351]"
infectious diseases,Gram positive septicemia,38.2,"[38.2, 65.0, 525281.0, 5044.641055507912, 25.934831996468105, 981244.1963141166, 657.4347205389474]","[38.2, 65.0, 522425.0, 5096.648039227497, 26.201875434828622, 991372.5946973, 666.1102274770408]"
infectious diseases,Bacterial infection NOS,41.0,"[41.0, 5629.0, 524844.0, 151.2699210721654, 98.92315985864796, 231.3168023936584, 8.972224675088957e+117]","[41.0, 5629.0, 498501.0, 167.31925434443625, 109.37959462163616, 255.9502343304568, 3.0580887610869428e+122]"
infectious diseases,Staphylococcus infections,41.1,"[41.1, 614.0, 525231.0, 381.23846074900047, 104.5026128503354, 1390.8050716628632, 4.46104513149556e+18]","[41.1, 614.0, 519503.0, 389.82081718741006, 106.89079164885018, 1421.6404160600562, 6.198731946730871e+18]"
infectious diseases,Streptococcus infection,41.2,"[41.2, 7903.0, 524717.0, 59.07107915447183, 41.50741732520708, 84.06671909106713, 7.994305667176243e+112]","[41.2, 7903.0, 511524.0, 60.93579103921108, 42.81352746857014, 86.72891137737422, 3.535818424561103e+114]"
infectious diseases,Rheumatic fever / chorea,41.21,"[41.21, 60.0, 525277.0, 0.4762475424229918, 0.0220969457872416, 10.264392366609163, 1.5727132731734472]","[41.21, 60.0, 524187.0, 0.4767126684648854, 0.0221159658035235, 10.275606785334467, 1.5715831558887823]"
infectious diseases,Herpes zoster,53.0,"[53.0, 1165.0, 525113.0, 4.11192658319051, 2.1834474235992847, 7.743690112618801, 83467.53332241789]","[53.0, 1165.0, 510752.0, 4.228516025462231, 2.244882403518911, 7.964937383607707, 123744.16666869642]"
infectious diseases,Herpes simplex,54.0,"[54.0, 3106.0, 524965.0, 6.323699636424274, 3.995960193071417, 10.00740126517016, 293392702639867.94]","[54.0, 3106.0, 505889.0, 6.396878266713646, 4.04256243808368, 10.122305390674672, 440550386899007.8]"
infectious diseases,Viral hepatitis B,70.2,"[70.2, 7291.0, 524672.0, 8.497051025090398, 6.114532721257904, 11.807913934613234, 3.0108378240743225e+36]","[70.2, 7291.0, 519939.0, 8.597393919893914, 6.186151304423326, 11.948492459435444, 7.05362077726537e+36]"
infectious diseases,Viral hepatitis C,70.3,"[70.3, 4331.0, 524925.0, 35.75324409950277, 23.16709088078379, 55.17716791532621, 9.657091881000633e+57]","[70.3, 4331.0, 515976.0, 36.905942291742846, 23.91082862808416, 56.96367104742144, 9.19012234638306e+58]"
infectious diseases,Chronic hepatitis,70.4,"[70.4, 2420.0, 524995.0, 11.791280366414856, 7.327997042856325, 18.97302794560181, 3.586530020344928e+23]","[70.4, 2420.0, 516857.0, 12.093195233629036, 7.513326515581749, 19.46479640614213, 9.808304728676167e+23]"
infectious diseases,Hepatitis NOS,70.9,"[70.9, 756.0, 525223.0, 12.095841762125264, 4.375456172812303, 33.43865922906364, 646039.7000315088]","[70.9, 756.0, 514097.0, 12.492617832925404, 4.517617249327948, 34.545976718754225, 876864.0580192498]"
infectious diseases,Human immunodeficiency virus [HIV] disease,71.0,"[71.0, 2757.0, 525016.0, 12.81768920159615, 7.822283047634852, 21.00322315981525, 2.302909080960226e+23]","[71.0, 2757.0, 517410.0, 13.004579589574858, 7.93524773992911, 21.312389460835888, 4.0305196307295154e+23]"
infectious diseases,Viral warts & HPV,78.0,"[78.0, 611.0, 525235.0, 0.307718198607204, 0.0757060899996404, 1.250764499322477, 10.049210931431288]","[78.0, 611.0, 504223.0, 0.3099731591765234, 0.0763139997470092, 1.2590528569908943, 9.856602928564142]"
infectious diseases,Viral infection,79.0,"[79.0, 56434.0, 521742.0, 22.29880719345357, 19.446714915539648, 25.56919276136867, ' < 2.225E-308']","[79.0, 56434.0, 424896.0, 27.68255789305435, 24.12922223653679, 31.759167535119627, ' < 2.225E-308']"
infectious diseases,Varicella infection,79.1,"[79.1, 105.0, 525272.0, 159.92749269151835, 15.72876834034001, 1626.1160673972238, 55619.00475895291]","[79.1, 105.0, 520787.0, 160.567427878465, 15.790025902608546, 1632.7964915654022, 56420.65441927764]"
infectious diseases,Sexually transmitted infections (not HIV or hepatitis),90.0,"[90.0, 858.0, 525144.0, 1.003298878938072, 0.4690458761574477, 2.1460771571531683, 1.006819824835545]","[90.0, 858.0, 518233.0, 1.011878959421851, 0.4730579702880398, 2.164426122864406, 1.024888449521097]"
infectious diseases,Gonococcal infections,90.2,"[90.2, 74.0, 525265.0, 0.4954212537636877, 0.062870935787438, 3.903905924203292, 1.9806914236306548]","[90.2, 74.0, 521814.0, 0.4986610942520669, 0.063234669254196, 3.932382186124397, 1.9646763651690016]"
infectious diseases,Venereal diseases due to Chlamydia trachomatis,90.3,"[90.3, 16.0, 525282.0, 11.81567559933966, 0.3081943603317942, 452.9939798980418, 5.422855869487916]","[90.3, 16.0, 524350.0, 11.806699202584886, 0.3080200356717695, 452.5619437589547, 5.419572207173951]"
infectious diseases,Dermatophytosis,110.1,"[110.1, 438.0, 525233.0, 1.9306948231456875, 0.5925809686529446, 6.290418858025596, 3.6366398759683283]","[110.1, 438.0, 517115.0, 1.9546727804359136, 0.5998676762198141, 6.36931415050442, 3.7576599735018466]"
infectious diseases,Dermatophytosis of nail,110.11,"[110.11, 1231.0, 525136.0, 5.544998963522981, 2.835018324759333, 10.845437307034365, 1784881.2368392346]","[110.11, 1231.0, 504997.0, 5.761633227013566, 2.9438908545644997, 11.276375070480537, 3129169.5933078425]"
infectious diseases,Althete's foot,110.12,"[110.12, 988.0, 525212.0, 1.8413820316484135, 0.6731857388200541, 5.036778991219818, 4.266617176917941]","[110.12, 988.0, 512868.0, 1.8806474390848609, 0.6874222407201104, 5.145068897438389, 4.572883835967492]"
